Category: All categories

Week,steam: (United States),epic games store: (United States)
2019-01-06,63,<1
2019-01-13,62,<1
2019-01-20,61,<1
2019-01-27,65,<1
2019-02-03,65,<1
2019-02-10,65,<1
2019-02-17,60,<1
2019-02-24,58,<1
2019-03-03,62,<1
2019-03-10,63,<1
2019-03-17,60,1
2019-03-24,60,<1
2019-03-31,59,1
2019-04-07,56,1
2019-04-14,58,<1
2019-04-21,56,<1
2019-04-28,57,<1
2019-05-05,59,<1
2019-05-12,60,1
2019-05-19,60,1
2019-05-26,63,<1
2019-06-02,63,1
2019-06-09,67,<1
2019-06-16,67,<1
2019-06-23,86,<1
2019-06-30,75,<1
2019-07-07,67,<1
2019-07-14,60,<1
2019-07-21,62,<1
2019-07-28,59,<1
2019-08-04,60,<1
2019-08-11,61,<1
2019-08-18,62,<1
2019-08-25,60,1
2019-09-01,61,<1
2019-09-08,59,1
2019-09-15,59,1
2019-09-22,62,1
2019-09-29,65,<1
2019-10-06,60,<1
2019-10-13,60,<1
2019-10-20,63,<1
2019-10-27,65,1
2019-11-03,63,<1
2019-11-10,65,<1
2019-11-17,68,<1
2019-11-24,85,1
2019-12-01,75,<1
2019-12-08,68,<1
2019-12-15,75,1
2019-12-22,100,1
2019-12-29,84,1
