Category: All categories

Week,Steam: (United States),Epic Games: (United States)
2017-07-02,61,2
2017-07-09,47,2
2017-07-16,47,3
2017-07-23,48,3
2017-07-30,46,2
2017-08-06,48,3
2017-08-13,46,3
2017-08-20,43,4
2017-08-27,43,6
2017-09-03,43,6
2017-09-10,41,8
2017-09-17,40,9
2017-09-24,42,11
2017-10-01,41,12
2017-10-08,41,10
2017-10-15,41,13
2017-10-22,44,13
2017-10-29,40,12
2017-11-05,41,12
2017-11-12,43,13
2017-11-19,65,6
2017-11-26,50,13
2017-12-03,46,14
2017-12-10,47,14
2017-12-17,67,10
2017-12-24,81,5
2017-12-31,58,8
2018-01-07,47,14
2018-01-14,44,15
2018-01-21,44,20
2018-01-28,42,22
2018-02-04,40,21
2018-02-11,43,20
2018-02-18,43,22
2018-02-25,40,60
2018-03-04,40,40
2018-03-11,39,88
2018-03-18,40,67
2018-03-25,41,51
2018-04-01,40,43
2018-04-08,37,52
2018-04-15,35,44
2018-04-22,35,41
2018-04-29,36,45
2018-05-06,37,57
2018-05-13,38,47
2018-05-20,41,38
2018-05-27,47,38
2018-06-03,43,31
2018-06-10,48,38
2018-06-17,71,29
2018-06-24,56,36
2018-07-01,50,28
2018-07-08,39,35
2018-07-15,37,27
2018-07-22,42,30
2018-07-29,41,26
2018-08-05,42,40
2018-08-12,39,36
2018-08-19,39,82
2018-08-26,37,52
2018-09-02,36,40
2018-09-09,35,41
2018-09-16,33,40
2018-09-23,34,60
2018-09-30,32,49
2018-10-07,31,48
2018-10-14,31,40
2018-10-21,32,38
2018-10-28,34,35
2018-11-04,31,34
2018-11-11,34,34
2018-11-18,50,30
2018-11-25,40,43
2018-12-02,36,45
2018-12-09,37,42
2018-12-16,52,41
2018-12-23,66,41
2018-12-30,47,31
2019-01-06,34,37
2019-01-13,34,40
2019-01-20,35,36
2019-01-27,35,43
2019-02-03,38,42
2019-02-10,36,57
2019-02-17,33,41
2019-02-24,31,44
2019-03-03,34,39
2019-03-10,36,38
2019-03-17,35,40
2019-03-24,34,41
2019-03-31,34,45
2019-04-07,32,44
2019-04-14,33,39
2019-04-21,32,40
2019-04-28,32,42
2019-05-05,32,45
2019-05-12,32,48
2019-05-19,36,44
2019-05-26,38,36
2019-06-02,41,33
2019-06-09,43,31
2019-06-16,43,26
2019-06-23,64,26
2019-06-30,53,23
2019-07-07,43,23
2019-07-14,35,30
2019-07-21,35,28
2019-07-28,33,32
2019-08-04,35,27
2019-08-11,36,27
2019-08-18,38,30
2019-08-25,34,32
2019-09-01,35,30
2019-09-08,36,38
2019-09-15,34,40
2019-09-22,39,41
2019-09-29,39,39
2019-10-06,35,35
2019-10-13,34,60
2019-10-20,35,44
2019-10-27,41,43
2019-11-03,36,45
2019-11-10,35,41
2019-11-17,38,43
2019-11-24,54,32
2019-12-01,48,40
2019-12-08,40,44
2019-12-15,49,43
2019-12-22,70,48
2019-12-29,53,33
2020-01-05,37,40
2020-01-12,38,41
2020-01-19,42,40
2020-01-26,40,45
2020-02-02,36,43
2020-02-09,37,40
2020-02-16,40,44
2020-02-23,38,45
2020-03-01,37,43
2020-03-08,40,41
2020-03-15,57,49
2020-03-22,61,60
2020-03-29,61,67
2020-04-05,59,62
2020-04-12,59,69
2020-04-19,53,74
2020-04-26,54,71
2020-05-03,51,65
2020-05-10,53,100
2020-05-17,55,90
2020-05-24,53,69
2020-05-31,47,54
2020-06-07,52,46
2020-06-14,56,51
2020-06-21,66,38
