Category: All categories

Month,PlayStation 4: (United States),Xbox One: (United States)
2013-07,16,10
2013-08,18,12
2013-09,19,12
2013-10,26,13
2013-11,86,55
2013-12,54,41
2014-01,30,21
2014-02,28,20
2014-03,26,21
2014-04,22,17
2014-05,22,15
2014-06,26,19
2014-07,23,18
2014-08,27,20
2014-09,29,21
2014-10,26,19
2014-11,46,40
2014-12,53,44
2015-01,33,27
2015-02,30,23
2015-03,29,21
2015-04,27,22
2015-05,27,21
2015-06,36,32
2015-07,35,29
2015-08,34,30
2015-09,31,26
2015-10,34,29
2015-11,58,56
2015-12,62,57
2016-01,44,37
2016-02,39,33
2016-03,38,30
2016-04,38,28
2016-05,36,29
2016-06,45,37
2016-07,40,32
2016-08,37,31
2016-09,41,29
2016-10,38,30
2016-11,58,43
2016-12,66,54
2017-01,46,34
2017-02,43,29
2017-03,40,27
2017-04,36,26
2017-05,35,24
2017-06,47,34
2017-07,45,31
2017-08,40,30
2017-09,38,29
2017-10,36,26
2017-11,62,51
2017-12,66,53
2018-01,51,37
2018-02,46,30
2018-03,49,31
2018-04,47,28
2018-05,44,25
2018-06,52,30
2018-07,49,28
2018-08,48,27
2018-09,60,25
2018-10,44,24
2018-11,69,37
2018-12,70,39
2019-01,49,27
2019-02,43,24
2019-03,40,22
2019-04,37,19
2019-05,35,18
2019-06,45,22
2019-07,43,21
2019-08,52,20
2019-09,100,18
2019-10,35,17
2019-11,48,24
2019-12,61,32
2020-01,41,21
2020-02,39,19
2020-03,51,25
2020-04,70,32
2020-05,61,28
2020-06,56,24
