Category: All categories

Week,Xbox Series X: (United States),PlayStation 5: (United States)
2019-07-28,1,5
2019-08-04,1,4
2019-08-11,1,4
2019-08-18,1,4
2019-08-25,1,5
2019-09-01,1,3
2019-09-08,1,3
2019-09-15,1,3
2019-09-22,1,4
2019-09-29,1,4
2019-10-06,1,22
2019-10-13,1,9
2019-10-20,1,9
2019-10-27,1,7
2019-11-03,1,7
2019-11-10,1,7
2019-11-17,1,7
2019-11-24,1,9
2019-12-01,1,8
2019-12-08,74,14
2019-12-15,36,13
2019-12-22,16,11
2019-12-29,9,8
2020-01-05,10,12
2020-01-12,8,9
2020-01-19,9,8
2020-01-26,7,7
2020-02-02,7,11
2020-02-09,7,8
2020-02-16,7,8
2020-02-23,15,9
2020-03-01,8,8
2020-03-08,7,6
2020-03-15,24,16
2020-03-22,14,10
2020-03-29,13,10
2020-04-05,21,20
2020-04-12,17,14
2020-04-19,16,11
2020-04-26,17,12
2020-05-03,27,12
2020-05-10,22,15
2020-05-17,18,16
2020-05-24,18,16
2020-05-31,14,14
2020-06-07,80,100
2020-06-14,60,39
2020-06-21,30,16
2020-06-28,25,14
2020-07-05,21,13
2020-07-12,23,19
2020-07-19,33,15
