Category: All categories

Week,Nintendo Switch: (United States),Xbox One: (United States),PlayStation 4: (United States)
2017-03-19,13,31,21
2017-03-26,10,27,21
2017-04-02,8,26,20
2017-04-09,8,28,20
2017-04-16,6,27,20
2017-04-23,7,25,19
2017-04-30,7,24,19
2017-05-07,6,24,19
2017-05-14,6,25,19
2017-05-21,6,27,20
2017-05-28,6,29,24
2017-06-04,6,29,23
2017-06-11,8,45,31
2017-06-18,6,33,27
2017-06-25,6,33,27
2017-07-02,6,33,27
2017-07-09,5,32,26
2017-07-16,5,31,25
2017-07-23,6,30,24
2017-07-30,5,30,23
2017-08-06,5,30,22
2017-08-13,5,29,22
2017-08-20,4,33,22
2017-08-27,4,30,23
2017-09-03,4,30,23
2017-09-10,5,28,21
2017-09-17,5,28,20
2017-09-24,5,26,20
2017-10-01,4,25,21
2017-10-08,4,27,20
2017-10-15,5,26,20
2017-10-22,6,28,20
2017-10-29,8,31,23
2017-11-05,9,42,26
2017-11-12,10,37,27
2017-11-19,19,62,53
2017-11-26,12,44,37
2017-12-03,11,41,30
2017-12-10,11,45,32
2017-12-17,12,50,37
2017-12-24,19,70,52
2017-12-31,9,46,34
2018-01-07,7,36,27
2018-01-14,7,36,28
2018-01-21,6,34,28
2018-01-28,5,34,27
2018-02-04,5,31,25
2018-02-11,5,31,26
2018-02-18,5,33,27
2018-02-25,5,38,25
2018-03-04,6,32,27
2018-03-11,6,34,27
2018-03-18,6,35,28
2018-03-25,6,36,29
2018-04-01,5,34,28
2018-04-08,4,32,26
2018-04-15,4,29,26
2018-04-22,4,28,24
2018-04-29,4,27,23
2018-05-06,4,26,23
2018-05-13,5,27,24
2018-05-20,5,31,27
2018-05-27,6,32,27
2018-06-03,5,31,26
2018-06-10,10,38,35
2018-06-17,8,33,28
2018-06-24,7,33,27
2018-07-01,7,31,26
2018-07-08,7,32,27
2018-07-15,7,33,27
2018-07-22,6,31,27
2018-07-29,6,33,27
2018-08-05,6,31,29
2018-08-12,6,36,27
2018-08-19,5,29,27
2018-08-26,5,29,27
2018-09-02,5,31,36
2018-09-09,6,29,37
2018-09-16,7,26,29
2018-09-23,6,29,29
2018-09-30,6,26,24
2018-10-07,6,28,25
2018-10-14,5,26,25
2018-10-21,5,28,25
2018-10-28,7,28,26
2018-11-04,8,30,25
2018-11-11,11,33,31
2018-11-18,27,56,64
2018-11-25,16,40,42
2018-12-02,15,35,32
2018-12-09,18,35,33
2018-12-16,18,41,38
2018-12-23,27,59,53
2018-12-30,13,38,36
2019-01-06,9,29,26
2019-01-13,8,27,25
2019-01-20,7,28,26
2019-01-27,7,35,27
2019-02-03,7,28,23
2019-02-10,7,28,23
2019-02-17,7,28,25
2019-02-24,7,26,22
2019-03-03,7,27,24
2019-03-10,6,26,22
2019-03-17,6,24,21
2019-03-24,6,24,22
2019-03-31,6,23,21
2019-04-07,5,23,21
2019-04-14,6,25,22
2019-04-21,6,22,20
2019-04-28,5,21,19
2019-05-05,5,21,19
2019-05-12,5,21,19
2019-05-19,6,23,20
2019-05-26,6,25,23
2019-06-02,6,25,24
2019-06-09,8,34,27
2019-06-16,7,28,25
2019-06-23,7,26,24
2019-06-30,7,27,24
2019-07-07,10,26,23
2019-07-14,9,28,25
2019-07-21,7,26,24
2019-07-28,7,26,24
2019-08-04,7,29,24
2019-08-11,7,24,22
2019-08-18,6,23,22
2019-08-25,6,24,51
2019-09-01,7,32,100
2019-09-08,6,23,50
2019-09-15,7,23,46
2019-09-22,7,21,32
2019-09-29,6,20,18
2019-10-06,6,21,19
2019-10-13,6,23,20
2019-10-20,6,25,21
2019-10-27,7,26,21
2019-11-03,9,25,22
2019-11-10,10,26,22
2019-11-17,12,27,23
2019-11-24,27,44,43
2019-12-01,17,34,31
2019-12-08,14,41,29
2019-12-15,16,39,30
2019-12-22,25,52,45
2019-12-29,13,37,33
2020-01-05,8,28,23
2020-01-12,7,25,23
2020-01-19,7,27,23
2020-01-26,7,23,20
2020-02-02,7,23,21
2020-02-09,6,24,21
2020-02-16,7,25,22
2020-02-23,7,25,22
2020-03-01,7,23,21
2020-03-08,8,26,21
2020-03-15,16,46,33
2020-03-22,24,43,37
2020-03-29,24,42,37
2020-04-05,21,45,38
2020-04-12,23,46,42
2020-04-19,19,41,38
2020-04-26,18,42,38
2020-05-03,15,39,33
2020-05-10,15,38,34
2020-05-17,15,41,34
2020-05-24,14,35,33
2020-05-31,12,32,30
2020-06-07,13,44,33
2020-06-14,13,39,32
2020-06-21,12,34,30
2020-06-28,12,37,30
2020-07-05,11,31,28
2020-07-12,11,31,27
2020-07-19,10,36,28
