Category: All categories

Month,Xbox One: (United States),PlayStation 4: (United States)
2013-01,53,3
2013-02,50,29
2013-03,49,10
2013-04,47,6
2013-05,67,11
2013-06,75,34
2013-07,59,13
2013-08,58,16
2013-09,56,16
2013-10,50,22
2013-11,100,75
2013-12,96,46
2014-01,60,25
2014-02,56,24
2014-03,57,22
2014-04,47,19
2014-05,45,19
2014-06,54,22
2014-07,54,20
2014-08,53,23
2014-09,48,24
2014-10,44,22
2014-11,75,39
2014-12,95,44
2015-01,59,27
2015-02,49,25
2015-03,46,25
2015-04,45,23
2015-05,44,23
2015-06,62,31
2015-07,59,30
2015-08,57,29
2015-09,48,27
2015-10,49,29
2015-11,82,49
2015-12,88,53
2016-01,61,38
2016-02,54,33
2016-03,49,32
2016-04,47,33
2016-05,47,31
2016-06,61,39
2016-07,54,35
2016-08,49,31
2016-09,46,35
2016-10,47,34
2016-11,63,48
2016-12,78,55
2017-01,54,39
2017-02,45,36
2017-03,44,35
2017-04,41,31
2017-05,39,30
2017-06,53,40
2017-07,49,39
2017-08,46,33
2017-09,43,32
2017-10,41,31
2017-11,68,53
2017-12,76,56
2018-01,56,44
2018-02,49,40
2018-03,54,42
2018-04,46,39
2018-05,43,37
2018-06,51,43
2018-07,48,42
2018-08,47,41
2018-09,44,51
2018-10,41,38
2018-11,58,58
2018-12,64,60
2019-01,46,41
2019-02,43,36
2019-03,39,34
2019-04,34,31
2019-05,34,30
2019-06,43,38
2019-07,40,36
2019-08,39,44
2019-09,38,85
2019-10,34,30
2019-11,46,40
2019-12,62,51
2020-01,41,35
2020-02,38,34
2020-03,53,44
2020-04,65,60
2020-05,58,52
2020-06,57,48
2020-07,50,44
